timestamp,node,temperatura,umidade
2025-10-24 13:36:16,Node1,23.5,52.0
2025-10-24 13:36:22,Node1,23.6,52.0
2025-10-24 13:36:28,Node1,23.6,52.0
2025-10-24 13:36:34,Node1,23.6,52.0
2025-10-24 13:36:40,Node1,23.6,52.0
2025-10-24 13:36:47,Node1,23.6,52.0
2025-10-24 13:36:53,Node1,23.6,52.0
2025-10-24 13:36:59,Node1,23.6,52.0
13:38:35,Node1,23.6,52.0
13:38:42,Node1,23.6,52.0
13:38:48,Node1,23.6,52.0
13:38:54,Node1,23.7,51.0
13:39:00,Node1,23.7,51.0
13:39:06,Node1,23.7,51.0
13:39:12,Node1,23.7,52.0
13:39:18,Node1,23.7,52.0
13:39:24,Node1,23.7,52.0
13:39:30,Node1,23.7,53.0
13:39:36,Node1,23.7,53.0
13:39:42,Node1,23.7,53.0
13:39:48,Node1,23.7,53.0
13:39:54,Node1,23.7,53.0
13:40:00,Node1,23.7,53.0
13:40:06,Node1,23.7,53.0
13:40:12,Node1,23.7,53.0
13:40:18,Node1,23.7,54.0
13:40:24,Node1,23.7,54.0
13:40:31,Node1,23.7,54.0
13:40:37,Node1,23.7,54.0
13:40:43,Node1,23.7,54.0
